Date,Source,Campaign,Impressions,Spend,Clicks,AdGroup,Ad,Invalid CTR,CTR,CPC
2023-07-08,Facebook Ads,07.07.23LAL_DE,6,0.02,0,LAL1,b4,False,0.0,
2023-07-08,Google Ads,gen_analyst_DE,234,54.16,52,,,False,0.2222222222222222,1.0415384615384615
2023-07-08,Facebook Ads,03.07.23women,1,0.0,0,women,b4,False,0.0,
2023-07-08,Facebook Ads,05.07.23interests_DE,240,2.9,3,interest_work,b3,False,0.0125,0.9666666666666667
2023-07-08,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_dataanalytics – Copy,b3,False,0.0,
2023-07-08,Facebook Ads,02.07.23wide_DE,23,0.17,2,wide,b2,False,0.08695652173913043,0.085
2023-07-08,Facebook Ads,03.07.23women,21,0.07,0,women,b2,False,0.0,
2023-07-08,Facebook Ads,05.07.23interests_DE,5,0.05,0,interest_programming – Copy,b3,False,0.0,
2023-07-08,CRM,,0,0.0,0,,,False,,
2023-07-08,Bloggers,,0,0.0,0,,,False,,
2023-07-08,Facebook Ads,07.07.23LAL_DE,563,9.97,11,LAL1,b3,False,0.019538188277087035,0.9063636363636364
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,576,6.8,11,recentlymoved,b2,False,0.019097222222222224,0.6181818181818182
2023-07-08,Facebook Ads,03.07.23women,646,9.55,17,women,b3,False,0.02631578947368421,0.5617647058823529
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,127,1.7,3,recentlymoved,b3,False,0.023622047244094488,0.5666666666666667
2023-07-09,Facebook Ads,05.07.23interests_DE,2,0.04,0,interest_programming – Copy,b4,False,0.0,
2023-07-09,Facebook Ads,05.07.23interests_DE,11,0.26,0,interest_programming – Copy,b2,False,0.0,
2023-07-09,Facebook Ads,02.07.23wide_DE,36,0.61,0,wide,b2,False,0.0,
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,719,8.48,21,recentlymoved,b2,False,0.02920723226703755,0.40380952380952384
2023-07-09,CRM,,0,0.0,0,,,False,,
2023-07-09,Bloggers,,0,0.0,0,,,False,,
2023-07-09,Facebook Ads,05.07.23interests_DE,102,1.12,2,interest_dataanalytics – Copy,b2,False,0.0196078431372549,0.56
2023-07-09,SMM,,0,0.0,1,,,True,,0.0
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,5,0.04,0,recentlymoved,b4,False,0.0,
2023-07-09,Facebook Ads,05.07.23interests_DE,189,2.14,3,interest_work,b3,False,0.015873015873015872,0.7133333333333334
2023-07-09,Google Ads,gen_analyst_DE,303,59.88,58,,,False,0.19141914191419143,1.0324137931034483
2023-07-09,Facebook Ads,05.07.23interests_DE,73,0.68,2,interest_work,b4,False,0.0273972602739726,0.34
