Id,Call Start Time,Call Owner Name,CONTACTID,Call Type,Call Duration (in seconds),Call Status,Outgoing Call Status,Scheduled in CRM,Invalid Call Duration
5805028000001390092,2023-07-09 10:09:00,Alice Johnson,5805028000001369231,Outbound,910.0,Attended Dialled,Completed,0.0,False
5805028000001377126,2023-07-09 10:26:00,Alice Johnson,5805028000001355070,Outbound,979.0,Attended Dialled,Completed,0.0,False
5805028000001350166,2023-07-09 10:46:00,Alice Johnson,5805028000001355034,Outbound,41.0,Attended Dialled,Completed,0.0,False
5805028000001401159,2023-07-09 10:55:00,Alice Johnson,5805028000001033019,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001399108,2023-07-09 11:00:00,Alice Johnson,5805028000001348102,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001347098,2023-07-09 11:01:00,Alice Johnson,5805028000001348102,Outbound,812.0,Attended Dialled,Completed,0.0,False
5805028000001369266,2023-07-09 11:34:00,Alice Johnson,5805028000000964025,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001350178,2023-07-09 11:35:00,Alice Johnson,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001401171,2023-07-09 11:36:00,Alice Johnson,5805028000001377138,Outbound,4.0,Attended Dialled,Completed,0.0,False
5805028000001405069,2023-07-09 11:37:00,Alice Johnson,5805028000001377138,Inbound,913.0,Received,,,False
5805028000001350190,2023-07-09 11:56:00,Alice Johnson,5805028000001325013,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001361096,2023-07-09 11:57:00,Alice Johnson,5805028000001033019,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001361108,2023-07-09 11:59:00,Alice Johnson,5805028000001347038,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001347110,2023-07-09 12:00:00,Alice Johnson,5805028000001030010,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001399148,2023-07-09 12:01:00,Alice Johnson,5805028000000964068,Outbound,96.0,Attended Dialled,Completed,0.0,False
5805028000001375141,2023-07-09 12:04:00,Alice Johnson,5805028000001361061,Outbound,944.0,Attended Dialled,Completed,0.0,False
5805028000001355116,2023-07-09 13:35:00,John Doe,5805028000000964025,Missed,0.0,Missed,,,False
5805028000001350202,2023-07-09 14:00:00,Alice Johnson,5805028000001079118,Outbound,13.0,Attended Dialled,Completed,0.0,False
5805028000001348138,2023-07-09 14:01:00,Alice Johnson,5805028000001030010,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001347122,2023-07-09 14:03:00,Alice Johnson,5805028000000942003,Outbound,24.0,Attended Dialled,Completed,0.0,False
5805028000001348150,2023-07-09 14:04:00,Alice Johnson,5805028000001066030,Outbound,164.0,Attended Dialled,Completed,0.0,False
5805028000001347134,2023-07-09 14:15:00,Alice Johnson,5805028000001068001,Outbound,9.0,Attended Dialled,Completed,0.0,False
5805028000001375158,2023-07-09 14:16:00,Alice Johnson,5805028000001068001,Inbound,68.0,Received,,,False
5805028000001350214,2023-07-09 14:24:00,Jane Smith,5805028000001211013,Outbound,84.0,Attended Dialled,Completed,0.0,False
5805028000001372100,2023-07-09 14:29:00,Alice Johnson,5805028000000964025,Outbound,14.0,Attended Dialled,Completed,0.0,False
5805028000001347146,2023-07-09 14:31:00,Alice Johnson,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001390128,2023-07-09 14:32:00,Alice Johnson,5805028000001325013,Outbound,3.0,Attended Dialled,Completed,0.0,False
5805028000001372112,2023-07-09 14:33:00,Alice Johnson,5805028000001347038,Outbound,358.0,Attended Dialled,Completed,0.0,False
5805028000001390140,2023-07-09 14:42:00,Alice Johnson,5805028000001367055,Outbound,12.0,Attended Dialled,Completed,0.0,False
5805028000001363158,2023-07-09 14:44:00,Alice Johnson,5805028000001350131,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001369325,2023-07-09 16:05:00,Alice Johnson,5805028000001369290,Outbound,797.0,Attended Dialled,Completed,0.0,False
5805028000001399165,2023-07-09 16:23:00,Alice Johnson,5805028000001129001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001404118,2023-07-09 17:41:00,Alice Johnson,5805028000000964025,Outbound,10.0,Attended Dialled,Completed,0.0,False
5805028000001348209,2023-07-09 17:42:00,Alice Johnson,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001350262,2023-07-09 17:43:00,Alice Johnson,5805028000001325013,Outbound,40.0,Attended Dialled,Completed,0.0,False
5805028000001399177,2023-07-09 17:46:00,Alice Johnson,5805028000001367055,Outbound,780.0,Attended Dialled,Completed,0.0,False
5805028000001347158,2023-07-09 18:01:00,Alice Johnson,5805028000001350131,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001390152,2023-07-09 18:03:00,Alice Johnson,5805028000001079118,Outbound,8.0,Attended Dialled,Completed,0.0,False
5805028000001375171,2023-07-09 18:04:00,Alice Johnson,5805028000001030010,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001355128,2023-07-09 18:07:00,Alice Johnson,5805028000000942003,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001375183,2023-07-09 18:40:00,Alice Johnson,5805028000001369290,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001361155,2023-07-09 18:41:00,Alice Johnson,5805028000001361120,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001402079,2023-07-09 18:43:00,Alice Johnson,5805028000001369290,Outbound,4.0,Attended Dialled,Completed,0.0,False
5805028000001350274,2023-07-09 19:56:00,Alice Johnson,5805028000001350131,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001405098,2023-07-09 19:57:00,Alice Johnson,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001377203,2023-07-09 19:59:00,Alice Johnson,5805028000000964025,Outbound,10.0,Attended Dialled,Completed,0.0,False
5805028000001348233,2023-07-09 20:24:00,Alice Johnson,5805028000001361120,Outbound,9.0,Attended Dialled,Completed,0.0,False
5805028000001347218,2023-07-10 10:01:00,Alice Johnson,5805028000001372140,Outbound,899.0,Attended Dialled,Completed,0.0,False
5805028000001401248,2023-07-10 10:19:00,Alice Johnson,5805028000001369367,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001372188,2023-07-10 10:20:00,Alice Johnson,5805028000001347171,Outbound,8.0,Attended Dialled,Completed,0.0,False
5805028000001399225,2023-07-10 10:21:00,Alice Johnson,5805028000001401189,Outbound,30.0,Attended Dialled,Completed,0.0,False
5805028000001405134,2023-07-10 10:24:00,Alice Johnson,5805028000001399190,Outbound,843.0,Attended Dialled,Completed,0.0,False
5805028000001369402,2023-07-10 10:43:00,Alice Johnson,5805028000001348266,Outbound,36.0,Attended Dialled,Completed,0.0,False
5805028000001372200,2023-07-10 10:45:00,Alice Johnson,5805028000001355141,Outbound,8.0,Attended Dialled,Completed,0.0,False
5805028000001361233,2023-07-10 10:48:00,Alice Johnson,5805028000001399190,Outbound,271.0,Attended Dialled,Completed,0.0,False
5805028000001399237,2023-07-10 10:53:00,Alice Johnson,5805028000001399190,Outbound,135.0,Attended Dialled,Completed,0.0,False
5805028000001355176,2023-07-10 11:09:00,Alice Johnson,5805028000001129001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001347230,2023-07-10 11:20:00,Alice Johnson,5805028000000964025,Outbound,8.0,Attended Dialled,Completed,0.0,False
5805028000001369414,2023-07-10 11:29:00,Alice Johnson,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001402093,2023-07-10 11:30:00,Alice Johnson,5805028000001325013,Outbound,475.0,Attended Dialled,Completed,0.0,False
5805028000001402099,2023-07-10 11:37:00,Alice Johnson,5805028000001023002,Inbound,62.0,Received,,,False
5805028000001401260,2023-07-10 11:40:00,Alice Johnson,5805028000001369367,Outbound,887.0,Attended Dialled,Completed,0.0,False
5805028000001372212,2023-07-10 12:00:00,Alice Johnson,5805028000001347171,Outbound,706.0,Attended Dialled,Completed,0.0,False
5805028000001347242,2023-07-10 12:12:00,Alice Johnson,5805028000001350131,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001369426,2023-07-10 12:14:00,Alice Johnson,5805028000001355034,Outbound,771.0,Attended Dialled,Completed,0.0,False
5805028000001372224,2023-07-10 12:30:00,Alice Johnson,5805028000001355141,Outbound,27.0,Attended Dialled,Completed,0.0,False
5805028000001347254,2023-07-10 12:32:00,Alice Johnson,5805028000001079118,Outbound,7.0,Attended Dialled,Completed,0.0,False
5805028000001348301,2023-07-10 12:33:00,Alice Johnson,5805028000001367055,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001363193,2023-07-10 12:41:00,Alice Johnson,5805028000001387098,Outbound,797.0,Attended Dialled,Completed,0.0,False
5805028000001355189,2023-07-10 12:55:00,Alice Johnson,5805028000000942003,Outbound,91.0,Attended Dialled,Completed,0.0,False
5805028000001402177,2023-07-10 12:59:00,Alice Johnson,5805028000001375237,Outbound,923.0,Attended Dialled,Completed,0.0,False
5805028000001402189,2023-07-10 13:18:00,Alice Johnson,5805028000001361061,Outbound,16.0,Attended Dialled,Completed,0.0,False
5805028000001348313,2023-07-10 13:22:00,Alice Johnson,5805028000000964025,Outbound,8.0,Attended Dialled,Completed,0.0,False
5805028000001399285,2023-07-10 14:46:00,Alice Johnson,5805028000001347266,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001387145,2023-07-10 14:49:00,Alice Johnson,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001375273,2023-07-10 14:53:00,Alice Johnson,5805028000001401189,Outbound,844.0,Attended Dialled,Completed,0.0,False
5805028000001402202,2023-07-10 15:07:00,Alice Johnson,5805028000001361061,Outbound,1.0,Attended Dialled,Completed,0.0,False
5805028000001399297,2023-07-10 15:08:00,Alice Johnson,5805028000001350131,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001404141,2023-07-10 15:10:00,Alice Johnson,5805028000001361120,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001372236,2023-07-10 16:02:00,Alice Johnson,5805028000001390227,Outbound,902.0,Attended Dialled,Completed,0.0,False
5805028000001372248,2023-07-10 16:19:00,Alice Johnson,5805028000001355070,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001399309,2023-07-10 16:41:00,Alice Johnson,5805028000001129001,Outbound,15.0,Attended Dialled,Completed,0.0,False
5805028000001401277,2023-07-10 16:45:00,Alice Johnson,5805028000001363222,Outbound,1433.0,Attended Dialled,Completed,0.0,False
5805028000001402215,2023-07-10 17:11:00,Alice Johnson,5805028000001068001,Outbound,13.0,Attended Dialled,Completed,0.0,False
5805028000001355202,2023-07-10 17:12:00,Alice Johnson,5805028000001367055,Outbound,7.0,Attended Dialled,Completed,0.0,False
